م,اسم المنافسة,الجهة,الرقم المرجعي,مدة العقد,الشركة,المتبقي لإغلاق المنافسة,التصنيف,تاريخ النشر,تاريخ تسجيل الفرصة,تاريخ إغلاق المنافسة,نشاط المنافسة,مبلغ التقديم,شركة الترسية المشروع عليها,قيمة الترسية,,,,,,,,,,,,,,,,,,
454,توريد آلات و معدات زراعية,بلدية القليبة,250239005402,30 يوم,لوجستي,-240,لن يتم التقديم,09-Mar-25,12-Mar-25,25-Mar-25,"تجارة الحاصلات الزراعية
تجارة الأدوات والآلات والأجهزة
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
455,تأمين وتوريد بتموس مخصب وأسمدة ومبيد فطري لمشتل بلدية الزلفي,أمانة منطقة الرياض,250339005437,30 يوم,لوجستي,-248,لن يتم التقديم,09-Mar-25,12-Mar-25,17-Mar-25,"تجارة الحاصلات الزراعية
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
456,توريد حفار تربة يدوي لبلدية محافظة ضباء,بلدية محافظة ضباء,250339004372,1 شهر,لوجستي,-240,لن يتم التقديم,09-Mar-25,12-Mar-25,25-Mar-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
457,توريد ردود ماء وتربة زراعية في محافظة الخرج,أمانة منطقة الرياض,250339003027,12 شهر,لوجستي,-243,لن يتم التقديم,06-Mar-25,12-Mar-25,22-Mar-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
458,توريد مواد الزراعة والتشجير والري بالقوة البحرية بجازان,القوات البحرية,250339003466,"
60 يوم",لوجستي,-243,لن يتم التقديم,06-Mar-25,12-Mar-25,22-Mar-25,"تجارة الحاصلات الزراعية
تجارة الأدوات والآلات والأجهزة
تجارة مواد البناء والأدوات الكهربائية والصحية
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
459,توريد مواد واجهزة مكافحة الأفات والحشرات بالقوة البحرية بجازان,القوات البحرية,250339003535,30 يوم,لوجستي,-243,لن يتم التقديم,06-Mar-25,12-Mar-25,22-Mar-25,"تجارة الحاصلات الزراعية
تجارة الأدوات والآلات والأجهزة
تجارة مواد البناء والأدوات الكهربائية والصحية
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
460,أعمال اعداد مخططات هندسية لمبنى إدارة الدفاع المدني بمحافظة بقيق,ادارة الشؤون الفنية المركزية بالمنطقة الشرقية,250339006865,45 يوم,المقاولات,-250,لن يتم التقديم,11-Mar-25,12-Mar-25,15-Mar-25,انشطة الاستشارات الهندسية - تصميم,,,,,,,,,,,,,,,,,,,,,
461,مشروع نظام المراسلات الالكترونية والوثائق والمحفوظات,محمية الملك عبدالعزيز,250339010018,36 شهر,شركة دروع البيانات,-221,لن يتم التقديم,19-Mar-25,19-Mar-25,13-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
462,حوكمة التحول الرقمي,الهيئة العامة للنقل,250339006489,12 شهر,شركة دروع البيانات,-239,لم يتم التقديم - لم يتم استلام العرض,10-Mar-25,12-Mar-25,26-Mar-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
463,أعمال الرفع المساحي لحصر الأراضي والمباني,مؤسسة البريد السعودي,250339004374,12 شهر,المقاولات,-241,لن يتم التقديم,06-Mar-25,12-Mar-25,24-Mar-25,"انشطة الاستشارات الهندسية - تصميم
انشطة الاستشارات الهندسية- اشراف",,,,,,,,,,,,,,,,,,,,,
464,صيانة ونظافة مبنى صندوق التنمية الزراعية بمنطقة الجوف والمراكز التابعة له ( طبرجل – القريات ) .,صندوق التنمية الزراعية,250339004190,3 سنة,المقاولات,-219,لن يتم التقديم,11-Mar-25,12-Mar-25,15-Apr-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
465,صيانة ونظافة مبنى صندوق التنمية الزراعية بمنطقة الحدود الشمالية,صندوق التنمية الزراعية,250339004204,3 سنة,المقاولات,-213,لن يتم التقديم,11-Mar-25,13-Mar-25,21-Apr-25,"
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
466,نظام ورخص أمن التصفح والاتصال بالإنترنت,هيئة تقويم التعليم,250339007564,3 سنة,شركة دروع البيانات,-238,لم يتم التقديم - لم يتم استلام العرض,11-Mar-25,13-Mar-25,27-Mar-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
467,تطوير مركز صحي الجرف بالمدينة المنورة,تجمع المدينة المنورة الصحي,250339005344,"
4 شهر",المقاولات,-223,لن يتم التقديم,11-Mar-25,13-Mar-25,11-Apr-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
468,التجهيز التقني لفرعي الوزارة في مكة المكرمة والمدينة المنورة,وزارة السياحة,250339013030, 36 شهر,شركة دروع البيانات,-211,لن يتم التقديم,19-Mar-25,20-Mar-25,23-Apr-25, تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
469,مشروع رخص الأمن السيبراني,أمانة العاصمة المقدسة,250339006726,1 سنة,شركة دروع البيانات,-238,لم يتم التقديم - لم يتم استلام العرض,11-Mar-25,13-Mar-25,27-Mar-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
470,إنشاء البنية التحتية و الوحدات السكنية في حي المشيريف-2,الادارة العامة لمشروع ينبع,241039011358,1095 يوم,المقاولات,-225,لن يتم التقديم,05-Feb-25,12-Jan-25,09-Apr-25,الإنشاءات والعقارات,,,,,,,,,,,,,,,,,,,,,
471,صيانة المسطحات الخضراء,بلدية محافظة تثليث,250339006004,30 يوم,المقاولات,-238,لن يتم التقديم,11-Mar-25,13-Mar-25,27-Mar-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
472,توريد وتركيب قماش لمظلة العاب بالمجموعة الخامسة بالشرقية,قوات الدفاع الجوي,250339007951,30 يوم,المقاولات,-244,لن يتم التقديم,13-Mar-25,13-Mar-25,21-Mar-25,"تجارة مواد البناء والأدوات الكهربائية والصحية
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة",,,,,,,,,,,,,,,,,,,,,
473,أتمتة وحوكمة أعمال لجان المشتريات في الهيئة السعودية للسياحة,الهيئة السعودية للسياحة,250339009405,24 شهر,شركة دروع البيانات,-236,لن يتم التقديم,13-Mar-25,16-Mar-25,29-Mar-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
474,Animal Keeper Services for the year 2025 and 2026,شركة السودة للتطوير,,,البيطرة,-248,الملغاة,,,17-Mar-25,,,,,,,,,,,,,,,,,,,,,,
475,تقديم الخدمات الاستشارية لتطوير تقنية التسلسل الوراثي للسلالات وجينوم الميكروبات,البرنامج الوطني لتطوير قطاع الثروة الحيوانية والسم,240939018792,36 شهر,البيطرة,-319,لم يتم التقديم - لم يتم استلام العرض,05-Dec-24,05-Dec-24,05-Jan-25,,,,,,,,,,,,,,,,,,,,,,
476,أعمال إزالة وإحلال التربة بأكاديمية وزارة الداخلية لأمن الحدود,حرس الحدود,250339010501,30 يوم,المقاولات,-246,لن يتم التقديم,16-Mar-25,16-Mar-25,19-Mar-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
477,صيانة وتحسين وتطوير الحدائق ببلدية محافظة العويقيلة,أمانة منطقة الحدود الشمالية,250339007879,3 سنة,المقاولات,-226,لن يتم التقديم,13-Mar-25,17-Mar-25,08-Apr-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق,,,,,,,,,,,,,,,,,,,,,
478,تقديم الدعم الفني والتشغيلي لمختبر التقنية الوراثية,المركز الوطني للوقاية من الآفات والامراض الحيوانية ومكافحتها,241039017487,36 شهر,البيطرة,-312,لم يتم التقديم - لم يتم استلام العرض,09-Dec-24,09-Dec-24,12-Jan-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
479,مشروع تشغيل وصيانه الحدائق والمنتزهات والشوارع والميادين في نطاق بلدية وسط المدينة مرحلة أولى,أمانة منطقة حائل,250339009343,1095 يوم,المقاولات,-217,لن يتم التقديم,15-Mar-25,16-Mar-25,17-Apr-25,"تجارة الحاصلات الزراعية
تجارة الأدوات والآلات والأجهزة
تجارة مواد البناء والأدوات الكهربائية والصحية
تجارة السيارات والمعدات والماكينات
إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء
أنشطة زراعية
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
480,دراسة الفحص الجيني وتشخيص الامراض الصحية المرتبطة بالثدييات في كل من الطبيق والخنفة لعام 2025,محمية الملك سلمان بن عبدالعزيز,250139000571,12 شهر,البيطرة,-304,لم يتم الترسية,04-Jan-25,06-Jan-25,20-Jan-25,أنشطة بيطرية,"3,441,720.00",شركة جينات الحياة الطبية,500039.97,,,,,,,,,,,,,,,,,,
481,مشروع صيانة وتطوير المنتزة البري بمدينة القيصومة,بلدية القيصومة,250339008810,270 يوم,المقاولات,-236,لن يتم التقديم,13-Mar-25,16-Mar-25,29-Mar-25,"مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة
أنشطة زراعية
خدمات صيانة واصلاح الأجهزة والمعدات والآلات
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
482,تحديث نظام التحكم وربطه بنظام التحكم الرئيسي وتحقيق ضوابط ومتطلبات الأمن السيبراني,الهيئة السعودية للمياه,250339005519,24 شهر,شركة دروع البيانات,-233,لم يتم التقديم - لم يتم استلام العرض,16-Mar-25,16-Mar-25,01-Apr-25,"الإتصالات
تقنية المعلومات",,,,,,,,,,,,,,,,,,,,,
483,مشروع توريد مستلزمات الصيانة المباشرة للحدائق في مدينة القيصومة,بلدية القيصومة,250339008806,270 يوم,لوجستي,-236,لن يتم التقديم,13-Mar-25,16-Mar-25,29-Mar-25,"تجارة الأدوات والآلات والأجهزة
تجارة مواد البناء والأدوات الكهربائية والصحية
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة
خدمات صيانة واصلاح الأجهزة والمعدات والآلات
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
484,مشرع معالجة التشوهات البصرية لقرية أم قليب,بلدية القيصومة,250339007916,270 يوم,المقاولات,-236,لن يتم التقديم,13-Mar-25,16-Mar-25,29-Mar-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
485,مشروع صيانة الحدائق داخل الاحياء بمدينة القيصومة,بلدية القيصومة,250339008811,270 يوم,المقاولات,-236,لن يتم التقديم,13-Mar-25,16-Mar-25,29-Mar-25,"مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة
خدمات صيانة واصلاح الأجهزة والمعدات والآلات
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
